,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
1350,flat,dlf the grove,sector 54,5.7,41245.0,1382.0,Built Up area: 1382 (128.39 sq.m.),3,3,3,1.0,East,Undefined,,1382.0,,0,0,0,0,0,0,46
2191,house,international city by sobha phase 1,sector 109,5.7,10556.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3+,4.0,East,Relatively New,,5400.0,,1,1,0,0,0,0,98
29,house,international city by sobha phase 2,sector 109,5.65,10463.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3+,2.0,North-East,New Property,,5400.0,,0,1,0,0,1,1,44
2999,house,independent,sector 23,5.65,17706.0,3191.0,Plot area 342(285.96 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),7,7,3+,2.0,West,Moderately Old,,5000.0,4000.0,0,1,0,1,0,0,68
873,house,independent,sector 46,5.65,23870.0,2367.0,Plot area 263(219.9 sq.m.),8,6,3+,3.0,South-West,Moderately Old,,2367.0,,0,1,0,0,0,1,67
3516,flat,experion windchants,sector 112,5.6,11551.0,4848.0,Super Built up area 4848(450.39 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4,6,3+,8.0,North-East,Relatively New,4848.0,3655.35,,0,1,0,0,0,1,168
967,flat,experion windchants,sector 112,5.6,11529.0,4857.0,Super Built up area 4857(451.23 sq.m.)Built Up area: 3662.34 sq.ft. (340.24 sq.m.),4,6,3+,15.0,North-East,Moderately Old,4857.0,3662.34,,0,1,0,0,0,1,157
1351,house,independent,sector 55,5.6,20741.0,2700.0,Plot area 300(250.84 sq.m.),6,4,3,3.0,East,Old Property,,2700.0,,0,1,0,0,0,1,41
3476,house,independent,sector 2,5.6,17284.0,3240.0,Plot area 360(301.01 sq.m.),8,6,3+,,South-West,Moderately Old,,3240.0,,1,1,1,1,0,0,0
56,flat,tulip monsella,sector 53,5.6,19363.0,2892.0,Super Built up area 2892(268.68 sq.m.),3,3,3+,1.0,,Under Construction,2892.0,,,0,0,0,0,0,0,42
2973,house,godrej meridien,sector 106,5.6,14000.0,4000.0,Plot area 4000(371.61 sq.m.),5,4,3+,33.0,North-East,New Property,,4000.0,,1,1,1,1,0,0,151
2292,house,sector 14 rwa,sector 14,5.51,16990.0,3243.0,Plot area 361(301.84 sq.m.),3,3,2,4.0,South-West,Moderately Old,,3249.0,,0,0,0,0,0,0,14
1039,house,independent,sector 48,5.5,23504.0,2340.0,Plot area 260(217.39 sq.m.),4,4,2,2.0,North,Relatively New,,2340.0,,0,1,0,0,0,1,22
45,house,housing board colony,sector 28,5.5,30556.0,1800.0,Plot area 200(167.23 sq.m.),4,3,3,2.0,North,Old Property,,1800.0,,0,0,0,1,1,1,22
867,house,ardee city,sector 52,5.5,183333.0,300.0,Plot area 300(27.87 sq.m.),9,9,3+,3.0,South,Moderately Old,,300.0,,0,1,0,1,1,1,26
278,house,vipul tatvam villa,sector 48,5.5,21219.0,2592.0,Plot area 288(240.8 sq.m.),3,6,2,2.0,North,Moderately Old,,2592.0,,0,1,0,0,1,1,106
3041,house,independent,sector 14,5.5,16975.0,3240.0,Plot area 360(301.01 sq.m.)Built Up area: 355 sq.yards (296.83 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),5,4,2,2.0,East,Old Property,,355.0,300.0,1,0,0,0,0,0,27
742,house,independent,sector 23,5.5,21825.0,2520.0,Plot area 280(234.12 sq.m.),8,8,2,3.0,East,Moderately Old,,2520.0,,1,1,0,1,0,1,76
2602,flat,bptp freedom park life,sector 57,5.5,8982.0,6123.0,Built Up area: 5010 (465.44 sq.m.),5,6,3+,19.0,East,Moderately Old,,5010.0,,0,1,0,1,0,1,153
2179,house,dlf city phase 1,sector 26,5.5,30556.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Moderately Old,,1800.0,,0,0,1,1,0,0,49
747,house,independent,sohna road road,5.5,5093.0,10799.0,Plot area 1200(1003.35 sq.m.)Built Up area: 3500 sq.yards (2926.45 sq.m.),3,3,3+,2.0,West,Moderately Old,,3500.0,,1,1,0,1,1,0,49
3664,house,international city by sobha phase 1,sector 109,5.5,21605.0,2546.0,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,New Property,,2430.0,,0,1,0,0,0,0,61
3195,house,independent,sector 43,5.5,2716.0,20250.0,Plot area 215(179.77 sq.m.)Built Up area: 2850 sq.yards (2382.96 sq.m.)Carpet area: 2250 sq.yards (1881.29 sq.m.),8,7,3+,3.0,East,Moderately Old,,2850.0,2250.0,1,1,0,1,1,1,123
1484,flat,mahindra luminare,sector 59,5.5,18181.0,3025.0,Super Built up area 3025(281.03 sq.m.),3,3,1,26.0,,Under Construction,3025.0,,,0,1,0,0,0,0,24
2459,house,dlf city phase 1,sector 26,5.5,30556.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3,2.0,North-East,Moderately Old,,1800.0,,1,1,0,1,0,0,69
1894,flat,krrish provence estate,gwal pahari,5.5,9482.0,5800.0,Super Built up area 5800(538.84 sq.m.),4,5,3+,11.0,East,New Property,5800.0,,,1,1,0,1,0,0,151
153,flat,m3m golfestate,sector 65,5.5,16959.0,3243.0,Super Built up area 3243(301.28 sq.m.)Built Up area: 2803 sq.ft. (260.41 sq.m.)Carpet area: 2388 sq.ft. (221.85 sq.m.),3,4,3,3.0,North-East,Relatively New,3243.0,2803.0,2388.0,0,1,0,0,0,0,49
642,house,independent,sector 43,5.5,28424.0,1935.0,Plot area 215(179.77 sq.m.),1,1,0,1.0,South-West,Old Property,,1935.0,,0,0,0,0,1,0,12
1184,flat,sahara grace,sector 28,5.5,14612.0,3764.0,Super Built up area 3764(349.69 sq.m.),4,5,3+,5.0,East,Moderately Old,3764.0,,,0,1,0,0,1,1,8
1217,house,independent,sector 46,5.5,23061.0,2385.0,Plot area 265(221.57 sq.m.),8,8,3+,3.0,,Moderately Old,,2385.0,,1,0,0,0,1,1,32
386,house,cloudnine cottages,sohna road road,5.5,55000.0,1000.0,Plot area 1000(92.9 sq.m.),3,3,0,1.0,,Moderately Old,,1000.0,,0,0,0,0,0,0,0
1607,flat,raheja atlantis,sector 31,5.5,18688.0,2943.0,Super Built up area 2943(273.41 sq.m.),4,5,3+,1.0,North,Relatively New,2943.0,,,1,1,0,1,0,0,81
19,house,independent,sector 54,5.5,38194.0,1440.0,Plot area 160(133.78 sq.m.),18,18,3+,4.0,South-West,Relatively New,,1440.0,,0,1,0,0,0,2,70
1222,house,independent,sector 23,5.5,13095.0,4200.0,Plot area 4200(390.19 sq.m.),9,9,3+,3.0,South,Moderately Old,,4200.0,,0,1,0,0,1,1,0
289,flat,experion windchants,sector 112,5.49,11584.0,4739.0,Super Built up area 4739(440.27 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4,5,3+,5.0,South,Relatively New,4739.0,3655.35,,0,1,0,0,0,1,168
1772,house,ansal api esencia,sector 67,5.46,24170.0,2259.0,Plot area 251(209.87 sq.m.),4,5,3+,2.0,East,Relatively New,,2259.0,,1,0,1,1,0,1,103
